List of Designated Securities Eligible for Short Selling,
Effective date : 11/03/2019,
Note : Delisted securities excluded,

No.,Stock Code,Stock Short Name,Currency,Type,Exempt from Tick Rule,Remarks
1,1,CKH HOLDINGS,HKD,EQTY,,,
2,2,CLP HOLDINGS,HKD,EQTY,,,
3,3,HK & CHINA GAS,HKD,EQTY,,,
4,4,WHARF HOLDINGS,HKD,EQTY,,,
5,5,HSBC HOLDINGS,HKD,EQTY,,,
6,6,POWER ASSETS,HKD,EQTY,,,
7,8,PCCW,HKD,EQTY,,,
8,10,HANG LUNG GROUP,HKD,EQTY,,,
9,11,HANG SENG BANK,HKD,EQTY,,,
10,12,HENDERSON LAND,HKD,EQTY,,,
11,14,HYSAN DEV,HKD,EQTY,,,
12,16,SHK PPT,HKD,EQTY,,,
13,17,NEW WORLD DEV,HKD,EQTY,,,
14,19,SWIRE PACIFIC A,HKD,EQTY,,,
15,20,WHEELOCK,HKD,EQTY,,,
16,23,BANK OF E ASIA,HKD,EQTY,,,
17,25,CHEVALIER INT'L,HKD,EQTY,,,
18,26,CHINA MOTOR BUS,HKD,EQTY,,,
19,27,GALAXY ENT,HKD,EQTY,,,
20,28,TIAN AN,HKD,EQTY,,,
21,32,CROSS-HAR(HOLD),HKD,EQTY,,,
22,34,KOWLOON DEV,HKD,EQTY,,,
23,35,FE CONSORT INTL,HKD,EQTY,,,
24,41,GREAT EAGLE H,HKD,EQTY,,,
25,43,C.P. POKPHAND,HKD,EQTY,,,
26,45,HK&S HOTELS,HKD,EQTY,,,
27,50,HK FERRY (HOLD),HKD,EQTY,,,
28,51,HARBOUR CENTRE,HKD,EQTY,,,
29,52,FAIRWOOD HOLD,HKD,EQTY,,,
30,53,GUOCO GROUP,HKD,EQTY,,,
31,54,HOPEWELL HOLD,HKD,EQTY,,,
32,56,ALLIED PPT (HK),HKD,EQTY,,,
33,62,TRANSPORT INT'L,HKD,EQTY,,,
34,64,GET NICE,HKD,EQTY,,,
35,66,MTR CORPORATION,HKD,EQTY,,,
36,69,SHANGRI-LA ASIA,HKD,EQTY,,,
37,71,MIRAMAR HOTEL,HKD,EQTY,,,
38,75,Y.T. REALTY,HKD,EQTY,,,
39,78,REGAL INT'L,HKD,EQTY,,,
40,81,CH OVS G OCEANS,HKD,EQTY,,,
41,83,SINO LAND,HKD,EQTY,,,
42,86,SUN HUNG KAI CO,HKD,EQTY,,,
43,88,TAI CHEUNG HOLD,HKD,EQTY,,,
44,95,LVGEM CHINA,HKD,EQTY,,,
45,101,HANG LUNG PPT,HKD,EQTY,,,
46,102,SUMMIT ASCENT,HKD,EQTY,,,
47,105,ASSO INT HOTELS,HKD,EQTY,,,
48,106,LANDSEA GREEN,HKD,EQTY,,,
49,107,SICHUAN EXPRESS,HKD,EQTY,,,
50,112,LERTHAI GROUP,HKD,EQTY,,,
51,116,CHOW SANG SANG,HKD,EQTY,,,
52,119,POLY PROPERTY,HKD,EQTY,,,
53,120,COSMOPOL INT'L,HKD,EQTY,,,
54,123,YUEXIU PROPERTY,HKD,EQTY,,,
55,127,CHINESE EST H,HKD,EQTY,,,
56,135,KUNLUN ENERGY,HKD,EQTY,,,
57,136,HENGTEN NET,HKD,EQTY,,,
58,142,FIRST PACIFIC,HKD,EQTY,,,
59,144,CHINA MER PORT,HKD,EQTY,,,
60,147,IB SETTLEMENT,HKD,EQTY,,,
61,148,KINGBOARD HLDG,HKD,EQTY,,,
62,151,WANT WANT CHINA,HKD,EQTY,,,
63,152,SHENZHEN INT'L,HKD,EQTY,,,
64,158,MELBOURNE ENT,HKD,EQTY,,,
65,163,EMPEROR INT'L,HKD,EQTY,,,
66,165,CHINA EB LTD,HKD,EQTY,,,
67,168,TSINGTAO BREW,HKD,EQTY,,,
68,171,SILVER GRANT,HKD,EQTY,,,
69,173,K. WAH INT'L,HKD,EQTY,,,
70,175,GEELY AUTO,HKD,EQTY,,,
71,177,JIANGSU EXPRESS,HKD,EQTY,,,
72,178,SA SA INT'L,HKD,EQTY,,,
73,179,JOHNSON ELEC H,HKD,EQTY,,,
74,182,CONCORD NE,HKD,EQTY,,,
75,189,DONGYUE GROUP,HKD,EQTY,,,
76,194,LIU CHONG HING,HKD,EQTY,,,
77,196,HONGHUA GROUP,HKD,EQTY,,,
78,200,MELCO INT'L DEV,HKD,EQTY,,,
79,207,JOY CITY PPT,HKD,EQTY,,,
80,215,HUTCHTEL HK,HKD,EQTY,,,
81,220,U-PRESID CHINA,HKD,EQTY,,,
82,225,POKFULAM,HKD,EQTY,,,
83,230,MINMETALS LAND,HKD,EQTY,,,
84,241,ALI HEALTH,HKD,EQTY,,,
85,242,SHUN TAK HOLD,HKD,EQTY,,,
86,245,CN MINSHENG FIN,HKD,EQTY,,,
87,247,TST PROPERTIES,HKD,EQTY,,,
88,251,SEA HOLDINGS,HKD,EQTY,,,
89,256,CITYCHAMP,HKD,EQTY,,,
90,257,CHINA EB INT'L,HKD,EQTY,,,
91,258,TOMSON GROUP,HKD,EQTY,,,
92,261,CCT LAND,HKD,EQTY,,,
93,266,TIAN TECK LAND,HKD,EQTY,,,
94,267,CITIC,HKD,EQTY,,,
95,268,KINGDEE INT'L,HKD,EQTY,,,
96,270,GUANGDONG INV,HKD,EQTY,,,
97,272,SHUI ON LAND,HKD,EQTY,,,
98,273,MASON GP HOLD,HKD,EQTY,,,
99,285,BYD ELECTRONIC,HKD,EQTY,,,
100,286,CS HEALTH,HKD,EQTY,,,
101,288,WH GROUP,HKD,EQTY,,,
102,289,WING ON CO,HKD,EQTY,,,
103,291,CHINA RES BEER,HKD,EQTY,,,
104,293,CATHAY PAC AIR,HKD,EQTY,,,
105,297,SINOFERT,HKD,EQTY,,,
106,303,VTECH HOLDINGS,HKD,EQTY,,,
107,308,CHINA TRAVEL HK,HKD,EQTY,,,
108,315,SMARTONE TELE,HKD,EQTY,,,
109,316,OOIL,HKD,EQTY,,,
110,317,COMEC,HKD,EQTY,,,
111,321,TEXWINCA HOLD,HKD,EQTY,,,
112,322,TINGYI,HKD,EQTY,,,
113,323,MAANSHAN IRON,HKD,EQTY,,,
114,326,CHINA STAR ENT,HKD,EQTY,,,
115,327,PAX GLOBAL,HKD,EQTY,,,
116,330,ESPRIT HOLDINGS,HKD,EQTY,,,
117,332,YUANHENG GAS,HKD,EQTY,,,
118,336,HUABAO INTL,HKD,EQTY,,,
119,337,GREENLAND HK,HKD,EQTY,,,
120,338,SHANGHAI PECHEM,HKD,EQTY,,,
121,341,CAFE DE CORAL H,HKD,EQTY,,,
122,342,NEWOCEAN ENERGY,HKD,EQTY,,,
123,345,VITASOY INT'L,HKD,EQTY,,,
124,347,ANGANG STEEL,HKD,EQTY,,,
125,354,CHINASOFT INT'L,HKD,EQTY,,,
126,358,JIANGXI COPPER,HKD,EQTY,,,
127,363,SHANGHAI IND H,HKD,EQTY,,,
128,369,WING TAI PPT,HKD,EQTY,,,
129,371,BJ ENT WATER,HKD,EQTY,,,
130,373,ALLIED GROUP,HKD,EQTY,,,
131,376,YUNFENG FIN,HKD,EQTY,,,
132,378,FDG KINETIC,HKD,EQTY,,,
133,383,CHINA MED&HCARE,HKD,EQTY,,,
134,384,CHINA GAS HOLD,HKD,EQTY,,,
135,386,SINOPEC CORP,HKD,EQTY,,,
136,388,HKEX,HKD,EQTY,,,
137,390,CHINA RAILWAY,HKD,EQTY,,,
138,392,BEIJING ENT,HKD,EQTY,,,
139,400,COGOBUY,HKD,EQTY,,,
140,405,YUEXIU REIT,HKD,TRST,,,
141,410,SOHO CHINA,HKD,EQTY,,,
142,412,CHINA SDHS FIN,HKD,EQTY,,,
143,416,BANKOFJINZHOU,HKD,EQTY,,,
144,419,HUAYI TENCENT,HKD,EQTY,,,
145,425,MINTH GROUP,HKD,EQTY,,,
146,435,SUNLIGHT REIT,HKD,TRST,,,
147,439,KUANGCHI,HKD,EQTY,,,
148,440,DAH SING,HKD,EQTY,,,
149,445,CIMC-TIANDA,HKD,EQTY,,,
150,451,GCL NEWENERGY,HKD,EQTY,,,
151,460,SIHUAN PHARM,HKD,EQTY,,,
152,467,UNITEDENERGY GP,HKD,EQTY,,,
153,468,GAPACK,HKD,EQTY,,,
154,472,NEW SILKROAD,HKD,EQTY,,,
155,480,HKR INT'L,HKD,EQTY,,,
156,486,RUSAL,HKD,EQTY,,,
157,488,LAI SUN DEV,HKD,EQTY,,,
158,489,DONGFENG GROUP,HKD,EQTY,,,
159,493,GOME RETAIL,HKD,EQTY,,,
160,494,LI & FUNG,HKD,EQTY,,,
161,496,KASEN,HKD,EQTY,,,
162,497,CSI PROPERTIES,HKD,EQTY,,,
163,500,FRONTIER SER,HKD,EQTY,,,
164,506,CHINA FOODS,HKD,EQTY,,,
165,508,DINGYI GP INV,HKD,EQTY,,,
166,511,TVB,HKD,EQTY,,,
167,512,CHINAGRANDPHARM,HKD,EQTY,,,
168,517,COSCO SHIP INTL,HKD,EQTY,,,
169,519,APPLIED DEV,HKD,EQTY,,,
170,520,XIABUXIABU,HKD,EQTY,,,
171,522,ASM PACIFIC,HKD,EQTY,,,
172,525,GUANGSHEN RAIL,HKD,EQTY,,,
173,526,LISI GP HOLD,HKD,EQTY,,,
174,530,GOLDIN FIN HOLD,HKD,EQTY,,,
175,535,GEMDALE PPT,HKD,EQTY,,,
176,538,AJISEN (CHINA),HKD,EQTY,,,
177,546,FUFENG GROUP,HKD,EQTY,,,
178,547,DIGITAL DOMAIN,HKD,EQTY,,,
179,548,SHENZHENEXPRESS,HKD,EQTY,,,
180,551,YUE YUEN IND,HKD,EQTY,,,
181,552,CHINACOMSERVICE,HKD,EQTY,,,
182,563,SH IND URBAN,HKD,EQTY,,,
183,570,TRAD CHI MED,HKD,EQTY,,,
184,576,ZHEJIANGEXPRESS,HKD,EQTY,,,
185,579,JNCEC,HKD,EQTY,,,
186,581,CHINA ORIENTAL,HKD,EQTY,,,
187,586,CONCH VENTURE,HKD,EQTY,,,
188,588,BEIJING N STAR,HKD,EQTY,,,
189,590,LUK FOOK HOLD,HKD,EQTY,,,
190,596,INSPUR INT'L,HKD,EQTY,,,
191,598,SINOTRANS,HKD,EQTY,,,
192,603,CHINA OIL & GAS,HKD,EQTY,,,
193,604,SHENZHEN INVEST,HKD,EQTY,,,
194,606,CHINA AGRI,HKD,EQTY,,,
195,607,FULLSHARE,HKD,EQTY,,,
196,622,ENERCHINA HOLD,HKD,EQTY,,,
197,627,FULLSUN INT'L,HKD,EQTY,,,
198,631,SANY INT'L,HKD,EQTY,,,
199,636,KERRY LOG NET,HKD,EQTY,,,
200,639,SHOUGANG RES,HKD,EQTY,,,
201,656,FOSUN INTL,HKD,EQTY,,,
202,658,C TRANSMISSION,HKD,EQTY,,,
203,659,NWS HOLDINGS,HKD,EQTY,,,
204,662,ASIA FINANCIAL,HKD,EQTY,,,
205,665,HAITONG INT'L,HKD,EQTY,,,
206,669,TECHTRONIC IND,HKD,EQTY,,,
207,670,CHINA EAST AIR,HKD,EQTY,,,
208,678,GENTING HK,HKD,EQTY,,,
209,680,NAN HAI CORP,HKD,EQTY,,,
210,683,KERRY PPT,HKD,EQTY,,,
211,686,PANDA GREEN,HKD,EQTY,,,
212,687,HKICIM GROUP,HKD,EQTY,,,
213,688,CHINA OVERSEAS,HKD,EQTY,,,
214,689,EPI (HOLDINGS),HKD,EQTY,,,
215,694,BEIJING AIRPORT,HKD,EQTY,,,
216,696,TRAVELSKY TECH,HKD,EQTY,,,
